Source,Target,Weight,Type
ML-phil_William of Conches.PHILOSOPHIA MUNDI,NL-tech_Sennert.natsc,21,undirected
ML-poes_Alanus de insulis.ANTICLAUDIANUS,AL-poes_Lucanus.belciv,7,undirected
ML-poes_Alanus de insulis.ANTICLAUDIANUS,AL-poes_Ovidius.met,3,undirected
ML-poes_Alanus de insulis.ANTICLAUDIANUS,NL-poes_Alii.djurdjev-i-poe,1,undirected
ML-poes_Alanus de insulis.ANTICLAUDIANUS,NL-poes_Alii.navagero,3,undirected
ML-poes_Alanus de insulis.ANTICLAUDIANUS,NL-poes_Alii.vicic-k-jess,3,undirected
ML-poes_Alanus de insulis.ANTICLAUDIANUS,NL-poes_Alii.vicic-k-thien,15,undirected
ML-poes_Alanus de insulis.ANTICLAUDIANUS,NL-poes_Balde.poemata,30,undirected
ML-poes_Alanus de insulis.ANTICLAUDIANUS,NL-poes_Bargeo.carm,2,undirected
ML-poes_Alanus de insulis.ANTICLAUDIANUS,NL-poes_May.supphar,2,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,AL-poes_Ausonius.OpusculaOmnia,14,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,AL-poes_Phaedrus.fabulae,2,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,AL-poes_Plautus.per,2,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,AL-poes_Prudentius.steph,2,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,AL-poes_Prudentius.sym,2,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,AL-poes_Sidonius.carmina,1,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,ML-poes_Alii.ANONYMUS NEVELETI,14,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,ML-poes_Alii.BALDO,34,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,NL-poes_Alii.rogacic-b-euthym,1,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,NL-poes_Campion.carmina,3,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,NL-poes_Celtis.amores,1,undirected
ML-poes_Alii.AlimAstensisPoetaNovusAvianus,NL-poes_Petrarca.buc,21,undirected
ML-poes_Alii.AlimBonifVerEulistea,AL-poes_Lucanus.belciv,8,undirected
ML-poes_Alii.AlimBonifVerEulistea,AL-poes_Prudentius.cath,4,undirected
ML-poes_Alii.AlimBonifVerEulistea,AL-poes_Prudentius.sym,1,undirected
ML-poes_Alii.AlimBonifVerEulistea,NL-poes_Balde.poemata,19,undirected
ML-poes_Alii.AlimBonifVerEulistea,NL-poes_Celtis.amores,2,undirected
ML-poes_Alii.AlimBonifVerEulistea,NL-poes_Furstenberg.poemataAdopt,20,undirected
ML-poes_Alii.AlimBonifVerEulistea,NL-poes_MicHospitalis.carmina,3,undirected
ML-poes_Alii.AlimBonifVerEulistea,NL-poes_Petrarca.africa,9,undirected
ML-poes_Alii.AlimBonvesinVitaSchol,AL-poes_Martialis.epigr,2,undirected
ML-poes_Alii.AlimBonvesinVitaSchol,AL-poes_Ovidius.pont,3,undirected
ML-poes_Alii.AlimBonvesinVitaSchol,AL-poes_Ovidius.tr,1,undirected
ML-poes_Alii.AlimBonvesinVitaSchol,ML-poes_Alii.AlimFlosMedicinae,29,undirected
ML-poes_Alii.AlimBonvesinVitaSchol,ML-poes_Alii.AlimPetDamOperaPoetica,7,undirected
ML-poes_Alii.AlimBonvesinVitaSchol,ML-poes_Alii.carmbur,3,undirected
ML-poes_Alii.AlimBonvesinVitaSchol,NL-poes_Balde.poemata,18,undirected
ML-poes_Alii.AlimBonvesinVitaSchol,NL-poes_Verino.epigr,3,undirected
ML-poes_Alii.AlimFlosMedicinae,AL-poes_AppVerg.AppVerg,1,undirected
ML-poes_Alii.AlimFlosMedicinae,AL-poes_Horatius.carm,2,undirected
ML-poes_Alii.AlimFlosMedicinae,AL-poes_Prudentius.sym,7,undirected
ML-poes_Alii.AlimFlosMedicinae,AL-poes_Seneca.Troades,3,undirected
ML-poes_Alii.AlimFlosMedicinae,AL-poes_Tibullus.eleg,2,undirected
ML-poes_Alii.AlimFlosMedicinae,ML-poes_Alii.AlimBonvesinVitaSchol,29,undirected
ML-poes_Alii.AlimFlosMedicinae,ML-poes_Alii.AlimPetDamOperaPoetica,1,undirected
ML-poes_Alii.AlimFlosMedicinae,ML-poes_Alii.carmbur,8,undirected
ML-poes_Alii.AlimFlosMedicinae,ML-tech_Alii.AlimDeSecretisMulierum,31,undirected
ML-poes_Alii.AlimFlosMedicinae,NL-poes_Alii.andreis-f-carmina,3,undirected
ML-poes_Alii.AlimFlosMedicinae,NL-poes_Balde.poemata,30,undirected
ML-poes_Alii.AlimFlosMedicinae,NL-poes_Verino.carl,9,undirected
ML-poes_Alii.AlimGestaFredericiI-1,AL-poes_Claudianus.claudian.cons6,2,undirected
ML-poes_Alii.AlimGestaFredericiI-1,AL-poes_Horatius.epod,3,undirected
ML-poes_Alii.AlimGestaFredericiI-1,AL-poes_Lucanus.belciv,1,undirected
ML-poes_Alii.AlimGestaFredericiI-1,AL-poes_Prudentius.psych,1,undirected
ML-poes_Alii.AlimGestaFredericiI-1,AL-poes_Valerius Flaccus.arg,3,undirected
ML-poes_Alii.AlimGestaFredericiI-1,ML-poes_Hrotsvita.gestaod,7,undirected
ML-poes_Alii.AlimGestaFredericiI-1,ML-poes_Hrotsvita.hag,1,undirected
ML-poes_Alii.AlimGestaFredericiI-1,ML-theo_Alii.quran,3,undirected
ML-poes_Alii.AlimGestaFredericiI-1,NL-poes_Alii.boskovic-r-el-2-carm,4,undirected
ML-poes_Alii.AlimGestaFredericiI-1,NL-poes_Alii.marul-mar-dauid,10,undirected
ML-poes_Alii.AlimGestaFredericiI-1,NL-poes_Balde.poemata,19,undirected
ML-poes_Alii.AlimGestaFredericiI-1,NL-poes_Petrarca.africa,1,undirected
ML-poes_Alii.AlimGestaFredericiI-1,NL-poes_Verino.carl,28,undirected
ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,AL-hist_Tacitus.ann,1,undirected
ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,AL-hist_Tacitus.tac.ger,1,undirected
ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,AL-poes_Commodianus.CarmenDeDuobusPopulis,14,undirected
ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,AL-poes_PaulinusOfNola.Poemata,21,undirected
ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,AL-poes_Prudentius.sym,1,undirected
ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,ML-epis_PetrusDeVinea.AlimPetrusDeVineaEpistoleStravangantiEAltriComponimenti.rtf,1,undirected
ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,ML-hist_Alii.AlimPetDamItinere,28,undirected
ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,43,undirected
ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,ML-poes_Alii.BALDO,4,undirected
ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,NL-poes_Balde.poemata,27,undirected
ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,NL-poes_Campion.carmina,2,undirected
ML-poes_Alii.AlimHenriSeptimElegia,AL-poes_Ausonius.OpusculaOmnia,9,undirected
ML-poes_Alii.AlimHenriSeptimElegia,AL-poes_Martialis.epigr,9,undirected
ML-poes_Alii.AlimHenriSeptimElegia,ML-poes_Alii.HENRY OF SETTIMELLO,66,undirected
ML-poes_Alii.AlimHenriSeptimElegia,NL-poes_Alii.natalis-f-carmina,1,undirected
ML-poes_Alii.AlimHenriSeptimElegia,NL-poes_Campion.carmina,3,undirected
ML-poes_Alii.AlimHenriSeptimElegia,NL-poes_MicHospitalis.carmina,1,undirected
ML-poes_Alii.AlimHenriSeptimElegia,NL-poes_Verino.flam,10,undirected
ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,43,undirected
ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,ML-poes_Alii.AlimPetDamOperaPoetica,1,undirected
ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,ML-poes_Alii.BALDO,14,undirected
ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,NL-poes_Alii.djurdjev-i-poe,3,undirected
ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,NL-poes_Alii.feric-d-periegesis,2,undirected
ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,NL-poes_Alii.navagero,1,undirected
ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,NL-poes_Alii.vicic-k-jess,6,undirected
ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,NL-poes_Alii.vitezov-ritter-p-plorantis,3,undirected
ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,NL-poes_Balde.poemata,20,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,AL-poes_Prudentius.cath,4,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,AL-poes_Prudentius.steph,6,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,AL-poes_Sedulius.carmpasch,6,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,ML-poes_Alii.AlimBonvesinVitaSchol,7,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,ML-poes_Alii.AlimFlosMedicinae,1,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,1,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,ML-poes_Alii.ARCHIPOETA,1,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,ML-poes_Alii.carmbur,41,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,ML-poes_Hrotsvita.hag,3,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,NL-poes_Alii.marul-mar-carmina,1,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,NL-poes_Alii.severitan-ip-feretr,1,undirected
ML-poes_Alii.AlimPetDamOperaPoetica,NL-poes_Balde.poemata,20,undirected
ML-poes_Alii.AlimRangeriusVitaMetricaAnselmiLucensisEpiscopi,AL-poes_Ausonius.OpusculaOmnia,25,undirected
ML-poes_Alii.AlimRangeriusVitaMetricaAnselmiLucensisEpiscopi,AL-poes_Iuvenalis.saturae,5,undirected
ML-poes_Alii.AlimRangeriusVitaMetricaAnselmiLucensisEpiscopi,AL-poes_Ovidius.met,7,undirected
ML-poes_Alii.AlimRangeriusVitaMetricaAnselmiLucensisEpiscopi,AL-poes_PaulinusOfNola.Poemata,3,undirected
ML-poes_Alii.AlimRangeriusVitaMetricaAnselmiLucensisEpiscopi,AL-theo_Augustinus.Confessiones,3,undirected
ML-poes_Alii.AlimRangeriusVitaMetricaAnselmiLucensisEpiscopi,ML-poes_Waltharius Manu Fortis.walt,2,undirected
ML-poes_Alii.AlimRangeriusVitaMetricaAnselmiLucensisEpiscopi,ML-theo_Humbertus Cardinalis.advsym,2,undirected
ML-poes_Alii.AlimRangeriusVitaMetricaAnselmiLucensisEpiscopi,NL-poes_Balde.poemata,19,undirected
ML-poes_Alii.ANONYMUS NEVELETI,AL-poes_Martialis.epigr,27,undirected
ML-poes_Alii.ANONYMUS NEVELETI,AL-poes_Prudentius.harm,3,undirected
ML-poes_Alii.ANONYMUS NEVELETI,AL-poes_Tibullus.eleg,3,undirected
ML-poes_Alii.ANONYMUS NEVELETI,ML-poes_Alii.AlimAstensisPoetaNovusAvianus,14,undirected
ML-poes_Alii.ANONYMUS NEVELETI,NL-poes_Alii.didacus-p-cato,8,undirected
ML-poes_Alii.ANONYMUS NEVELETI,NL-poes_Alii.djurdjev-i-poe,9,undirected
ML-poes_Alii.ANONYMUS NEVELETI,NL-poes_Alii.marul-mar-carmina,2,undirected
ML-poes_Alii.ANONYMUS NEVELETI,NL-poes_Campion.carmina,11,undirected
ML-poes_Alii.ANONYMUS NEVELETI,NL-poes_Verino.flam,3,undirected
ML-poes_Alii.ARCHIPOETA,AL-poes_Ausonius.OpusculaOmnia,15,undirected
ML-poes_Alii.ARCHIPOETA,AL-poes_Ovidius.rem,3,undirected
ML-poes_Alii.ARCHIPOETA,AL-poes_Ovidius.tr,1,undirected
ML-poes_Alii.ARCHIPOETA,AL-poes_Prudentius.apoth,5,undirected
ML-poes_Alii.ARCHIPOETA,ML-poes_Alii.AlimPetDamOperaPoetica,1,undirected
ML-poes_Alii.ARCHIPOETA,ML-poes_Alii.carmbur,30,undirected
ML-poes_Alii.ARCHIPOETA,ML-poes_WalterofChatillon.carmina,3,undirected
ML-poes_Alii.ARCHIPOETA,ML-theo_Kempis.imit,3,undirected
ML-poes_Alii.ARCHIPOETA,NL-poes_Balde.poemata,13,undirected
ML-poes_Alii.ARCHIPOETA,NL-poes_Verino.epigr,1,undirected
ML-poes_Alii.BALDO,AL-poes_Prudentius.steph,2,undirected
ML-poes_Alii.BALDO,AL-poes_Sidonius.carmina,3,undirected
ML-poes_Alii.BALDO,ML-poes_Alii.AlimAstensisPoetaNovusAvianus,34,undirected
ML-poes_Alii.BALDO,ML-poes_Alii.AlimHenricAbrincLegStFrancisciVersificata,4,undirected
ML-poes_Alii.BALDO,ML-poes_Alii.AlimLegVersSanctaeClaraeAssisiensis,14,undirected
ML-poes_Alii.BALDO,NL-poes_Alii.marul-mar-dauid,1,undirected
ML-poes_Alii.BALDO,NL-poes_Balde.poemata,8,undirected
ML-poes_Alii.BALDO,NL-poes_Petrarca.buc,3,undirected
ML-poes_Alii.carmbur,AL-epis_Hieronymus.epistulae,8,undirected
ML-poes_Alii.carmbur,AL-poes_Ausonius.OpusculaOmnia,17,undirected
ML-poes_Alii.carmbur,AL-poes_Commodianus.Instructiones,12,undirected
ML-poes_Alii.carmbur,AL-tech_Anonymus.t-anon-adnLuc,5,undirected
ML-poes_Alii.carmbur,AL-tech_Justinianus.codex,1,undirected
ML-poes_Alii.carmbur,AL-tech_Philargyrius.scholVerg,2,undirected
ML-poes_Alii.carmbur,AL-tech_Philargyrius.t-philarg-explBuc,1,undirected
ML-poes_Alii.carmbur,ML-epis_PetrusDeVinea.AlimPetrusDeVineaEpistoleStravangantiEAltriComponimenti.rtf,12,undirected
ML-poes_Alii.carmbur,ML-hist_Alii.AlimAlphanusArchepSalernVitaStChristVirg,13,undirected
ML-poes_Alii.carmbur,ML-poes_Alii.AlimBonvesinVitaSchol,3,undirected
ML-poes_Alii.carmbur,ML-poes_Alii.AlimFlosMedicinae,8,undirected
ML-poes_Alii.carmbur,ML-poes_Alii.AlimPetDamOperaPoetica,41,undirected
ML-poes_Alii.carmbur,ML-poes_Alii.ARCHIPOETA,30,undirected
ML-poes_Alii.carmbur,ML-poes_WalterofChatillon.carmina,31,undirected
ML-poes_Alii.carmbur,ML-tech_Alii.AlimBoncompRotaVeneris,14,undirected
ML-poes_Alii.carmbur,ML-tech_Alii.AlimGuidoFabaArsDictaminis,6,undirected
ML-poes_Alii.carmbur,ML-tech_Alii.AlimMatthaeusDeLibrisSummaDictaminis,8,undirected
ML-poes_Alii.carmbur,ML-theo_Alii.PETRI BLESENSIS DE DUODECIM UTILITATIBUS TRIBULATIONIS,1,undirected
ML-poes_Alii.carmbur,ML-theo_Alii.quran,6,undirected
ML-poes_Alii.carmbur,ML-tech_Alii.Ricardi de Bury,3,undirected
ML-poes_Alii.carmbur,ML-theo_Innocent III.DeMiseriaCondicionisHumanae,19,undirected
ML-poes_Alii.carmbur,ML-theo_Innocent III.DialogusInterDeumEtPeccatorem,11,undirected
ML-poes_Alii.carmbur,ML-theo_Kempis.imit,1,undirected
ML-poes_Alii.carmbur,NL-poes_Alii.djurdjev-i-poe,3,undirected
ML-poes_Alii.carmbur,NL-poes_Alii.ian-pan-epigr-eleg,1,undirected
ML-poes_Alii.carmbur,NL-poes_Alii.rastic-dz-c,2,undirected
ML-poes_Alii.carmbur,NL-poes_Balde.poemata,29,undirected
ML-poes_Alii.carmbur,NL-tech_Alii.marul-mar-in-epigr,1,undirected
ML-poes_Alii.HENRY OF SETTIMELLO,AL-poes_Ausonius.OpusculaOmnia,11,undirected
ML-poes_Alii.HENRY OF SETTIMELLO,AL-poes_Martialis.epigr,9,undirected
ML-poes_Alii.HENRY OF SETTIMELLO,ML-poes_Alii.AlimHenriSeptimElegia,66,undirected
ML-poes_Alii.HENRY OF SETTIMELLO,NL-poes_Campion.carmina,2,undirected
ML-poes_Alii.HENRY OF SETTIMELLO,NL-poes_MicHospitalis.carmina,1,undirected
ML-poes_Alii.HENRY OF SETTIMELLO,NL-poes_Verino.flam,10,undirected
ML-poes_Alii.MAXIMIANI ELEGIARVM LIBER,AL-poes_AppVerg.AppVerg,8,undirected
ML-poes_Alii.MAXIMIANI ELEGIARVM LIBER,AL-poes_Ovidius.met,3,undirected
ML-poes_Alii.MAXIMIANI ELEGIARVM LIBER,AL-poes_Propertius.eleg,7,undirected
ML-poes_Alii.MAXIMIANI ELEGIARVM LIBER,AL-poes_Seneca.sen.agamemnon,3,undirected
ML-poes_Alii.MAXIMIANI ELEGIARVM LIBER,AL-poes_Seneca.Troades,1,undirected
ML-poes_Alii.MAXIMIANI ELEGIARVM LIBER,NL-poes_Alii.ian-pan-epigr-eleg,3,undirected
ML-poes_Alii.MAXIMIANI ELEGIARVM LIBER,NL-poes_Balde.poemata,19,undirected
ML-poes_Alii.MAXIMIANI ELEGIARVM LIBER,NL-poes_Campion.carmina,10,undirected
ML-poes_Alii.MAXIMIANI ELEGIARVM LIBER,NL-poes_Verino.flam,12,undirected
ML-poes_Hrotsvita.gestaod,AL-poes_Sedulius.carmpasch,9,undirected
ML-poes_Hrotsvita.gestaod,ML-poes_Alii.AlimGestaFredericiI-1,7,undirected
ML-poes_Hrotsvita.gestaod,ML-poes_Hrotsvita.hag,66,undirected
ML-poes_Hrotsvita.gestaod,NL-poes_Alii.marul-mar-dauid,10,undirected
ML-poes_Hrotsvita.gestaod,NL-poes_Balde.poemata,3,undirected
ML-poes_Hrotsvita.gestaod,NL-poes_May.supphar,1,undirected
ML-poes_Hrotsvita.gestaod,NL-poes_Verino.carl,4,undirected
ML-poes_Hrotsvita.hag,AL-poes_Ausonius.OpusculaOmnia,13,undirected
ML-poes_Hrotsvita.hag,AL-poes_PaulinusOfNola.Poemata,4,undirected
ML-poes_Hrotsvita.hag,AL-poes_Sedulius.carmpasch,5,undirected
ML-poes_Hrotsvita.hag,ML-poes_Alii.AlimGestaFredericiI-1,1,undirected
ML-poes_Hrotsvita.hag,ML-poes_Alii.AlimPetDamOperaPoetica,3,undirected
ML-poes_Hrotsvita.hag,ML-poes_Hrotsvita.gestaod,66,undirected
ML-poes_Hrotsvita.hag,NL-poes_Balde.poemata,11,undirected
ML-poes_WalterofChatillon.carmina,AL-poes_Ausonius.OpusculaOmnia,12,undirected
ML-poes_WalterofChatillon.carmina,AL-poes_Commodianus.Instructiones,2,undirected
ML-poes_WalterofChatillon.carmina,ML-poes_Alii.ARCHIPOETA,3,undirected
ML-poes_WalterofChatillon.carmina,ML-poes_Alii.carmbur,31,undirected
ML-poes_WalterofChatillon.carmina,NL-poes_Balde.poemata,20,undirected
ML-poes_Waltharius Manu Fortis.walt,AL-fict_Apuleius.metamorph,8,undirected
ML-poes_Waltharius Manu Fortis.walt,AL-poes_Prudentius.psych,6,undirected
ML-poes_Waltharius Manu Fortis.walt,AL-poes_Sidonius.carmina,21,undirected
ML-poes_Waltharius Manu Fortis.walt,AL-poes_Statius.theb,9,undirected
ML-poes_Waltharius Manu Fortis.walt,AL-poes_Vergilius.aen,11,undirected
ML-poes_Waltharius Manu Fortis.walt,ML-poes_Alii.AlimRangeriusVitaMetricaAnselmiLucensisEpiscopi,2,undirected
ML-poes_Waltharius Manu Fortis.walt,NL-poes_Alii.marul-mar-carmina,3,undirected
ML-poes_Waltharius Manu Fortis.walt,NL-poes_Alii.marul-mar-dauid,3,undirected
ML-poes_Waltharius Manu Fortis.walt,NL-poes_Alii.mladinic-s-vita,2,undirected
ML-poes_Waltharius Manu Fortis.walt,NL-poes_Petrarca.africa,17,undirected
ML-poes_Waltharius Manu Fortis.walt,NL-poes_Petrarca.buc,1,undirected
ML-poes_Waltharius Manu Fortis.walt,NL-poes_Verino.carl,1,undirected
ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,AL-hist_Martianus Capella.denup,3,undirected
ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,AL-phil_Boethius.De_differentiis_topicis,3,undirected
ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,AL-phil_Boethius.ph-boet-analpr,2,undirected
ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,AL-tech_Cicero.invent,13,undirected
ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,AL-tech_Grillus.t-gril-rhet,4,undirected
ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,AL-tech_IuliusVictor.t-iulvict-rhet,51,undirected
ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,AL-tech_MariusVictorinus.t-marvict-exprhet,3,undirected
ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,AL-tech_Quintilianus.inst,20,undirected
ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,ML-tech_Alii.AlimBonusLucensisCedrusLibani,2,undirected
ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,ML-tech_Alii.JoanDeSacBosDeArtNumerandi,2,undirected
ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,NL-tech_Gozze.Rhet_pars,1,undirected
ML-tech_Alii.AlimBoncompRotaVeneris,AL-tech_Philargyrius.t-philarg-explBuc,1,undirected
ML-tech_Alii.AlimBoncompRotaVeneris,ML-epis_PetrusDeVinea.AlimPetrusDeVineaEpistoleStravangantiEAltriComponimenti.rtf,30,undirected
ML-tech_Alii.AlimBoncompRotaVeneris,ML-phil_PseudoAquinas.expInBoeth,2,undirected
ML-tech_Alii.AlimBoncompRotaVeneris,ML-poes_Alii.carmbur,14,undirected
ML-tech_Alii.AlimBoncompRotaVeneris,ML-tech_Alii.AlimGuidoFabaArsDictaminis,4,undirected
ML-tech_Alii.AlimBoncompRotaVeneris,ML-tech_Alii.AlimThomCapuanArsDictaminis,3,undirected
ML-tech_Alii.AlimBoncompRotaVeneris,ML-tech_Conradus Megenbergensis.ycon,8,undirected
ML-tech_Alii.AlimBoncompRotaVeneris,NL-tech_Alii.kiton-i-dir-meth,2,undirected
ML-tech_Alii.AlimBoncompRotaVeneris,NL-tech_Lomonosov.demeteoris,1,undirected
ML-tech_Alii.AlimBoncompRotaVeneris,NL-tech_Sennert.instmed,3,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,AL-tech_Cledonius.t-cled-ars,3,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,AL-tech_IuliusVictor.t-iulvict-rhet,5,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,AL-tech_Macrobius.t-macrob-scip,2,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,ML-phil_Conradus Megenburgensis.specfel,5,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,ML-phil_RogerBacon.OpMai,16,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,ML-tech_Alcuinus.DISPUTATIO DE RHETORICA,2,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,ML-tech_Alii.AlimGuidoFabaArsDictaminis,5,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,ML-tech_Alii.AlimThomCapuanArsDictaminis,18,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,ML-tech_Conradus Megenbergensis.ycon,30,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,ML-tech_Hugo St Victor.did,3,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,ML-theo_Abelardus.Theologia_scholarium,1,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,ML-theo_Alii.GUIDONIS FABE SUMMA DE VICIIS ET VIRTUTIBUS,3,undirected
ML-tech_Alii.AlimBonusLucensisCedrusLibani,ML-theo_Anselm.Lambeth_Fragments,17,undirected
ML-tech_Alii.AlimCofoneEgritudinesTociusCorporis,AL-tech_CassiusFelix.t-cas-deMed,2,undirected
ML-tech_Alii.AlimCofoneEgritudinesTociusCorporis,AL-tech_MarcelEmp.t-marc-deMedicam,27,undirected
ML-tech_Alii.AlimCofoneEgritudinesTociusCorporis,AL-tech_Pelagonius.t-pelag-arsvet,8,undirected
ML-tech_Alii.AlimCofoneEgritudinesTociusCorporis,AL-tech_Vegetius.t-veg-digMul,31,undirected
ML-tech_Alii.AlimCofoneEgritudinesTociusCorporis,ML-hist_Albertus Monachus.chron,2,undirected
ML-tech_Alii.AlimCofoneEgritudinesTociusCorporis,ML-hist_Alii.AlimJohannBerChroniconCasauriense,1,undirected
ML-tech_Alii.AlimCofoneEgritudinesTociusCorporis,ML-phil_Alii.AlimThoAquin(ps)TractatusDeLapidePhilosophico,7,undirected
ML-tech_Alii.AlimCofoneEgritudinesTociusCorporis,ML-tech_Alii.JoanDeSacBosDeArtNumerandi,21,undirected
ML-tech_Alii.AlimCofoneEgritudinesTociusCorporis,ML-tech_Grosseteste.De_impressionibus_aeris,1,undirected
ML-tech_Alii.AlimDeSecretisMulierum,AL-poes_Avianus.fabulae,3,undirected
ML-tech_Alii.AlimDeSecretisMulierum,AL-tech_CaeliusAurelianus.t-cael-gyn,12,undirected
ML-tech_Alii.AlimDeSecretisMulierum,AL-tech_MarcelEmp.t-marc-deMedicam,14,undirected
ML-tech_Alii.AlimDeSecretisMulierum,AL-tech_Vegetius.t-veg-digMul,6,undirected
ML-tech_Alii.AlimDeSecretisMulierum,ML-poes_Alii.AlimFlosMedicinae,31,undirected
ML-tech_Alii.AlimGentilCingQuaestionesSupraPriscianoMinori,ML-phil_Buridan.QQ_in_Post_An,33,undirected
ML-tech_Alii.AlimGentilCingQuaestionesSupraPriscianoMinori,ML-phil_Buridan.Summulae_de_dialectica,8,undirected
ML-tech_Alii.AlimGentilCingQuaestionesSupraPriscianoMinori,ML-phil_Duns Scotus.In_Isag,7,undirected
ML-tech_Alii.AlimGentilCingQuaestionesSupraPriscianoMinori,ML-phil_Duns Scotus.In_Meta,18,undirected
ML-tech_Alii.AlimGentilCingQuaestionesSupraPriscianoMinori,ML-phil_Rufus.physAris,1,undirected
ML-tech_Alii.AlimGuidoFabaArsDictaminis,AL-theo_Tertullian.DeSpectaculis,3,undirected
ML-tech_Alii.AlimGuidoFabaArsDictaminis,ML-epis_GuidoFaba.AlimGuidoFabaEpistole.rtf,26,undirected
ML-tech_Alii.AlimGuidoFabaArsDictaminis,ML-epis_PetrusDeVinea.AlimPetrusDeVineaEpistolae.rtf,1,undirected
ML-tech_Alii.AlimGuidoFabaArsDictaminis,ML-epis_PetrusDeVinea.AlimPetrusDeVineaEpistoleStravangantiEAltriComponimenti.rtf,26,undirected
ML-tech_Alii.AlimGuidoFabaArsDictaminis,ML-hist_Voragine.legaur,1,undirected
ML-tech_Alii.AlimGuidoFabaArsDictaminis,ML-poes_Alii.carmbur,6,undirected
ML-tech_Alii.AlimGuidoFabaArsDictaminis,ML-tech_Alii.AlimBoncompRotaVeneris,4,undirected
ML-tech_Alii.AlimGuidoFabaArsDictaminis,ML-tech_Alii.AlimBonusLucensisCedrusLibani,5,undirected
ML-tech_Alii.AlimGuidoFabaArsDictaminis,ML-tech_Alii.AlimIohannBonandrBrevisIntroAdDictamen,35,undirected
